    0.099000     1.01087294    -0.19863470     0.00000000    -0.91709525     0.28441760     0.00000000    -0.09378669    -0.08578290     0.00000000
    0.199000     1.04115968    -0.15268272     0.00000000    -0.85055312     0.31999761     0.00000000    -0.19062456    -0.16731489     0.00000000
    0.299000     1.06227700    -0.10613305     0.00000000    -0.76963690     0.34602782     0.00000000    -0.29266710    -0.23989477     0.00000000
    0.399000     1.07526789    -0.05941771     0.00000000    -0.67514040     0.35780416     0.00000000    -0.40016348    -0.29838645     0.00000000
    0.499000     1.08080427    -0.01269083     0.00000000    -0.57020207     0.35081486     0.00000000    -0.51064719    -0.33812403     0.00000000
    0.599000     1.07917889     0.03403140     0.00000000    -0.46008809     0.32253692     0.00000000    -0.61914480    -0.35656832     0.00000000
    0.699000     1.07030526     0.08076057     0.00000000    -0.35049300     0.27375500     0.00000000    -0.71987526    -0.35451557     0.00000000
    0.799000     1.05371750     0.12743241     0.00000000    -0.24536986     0.20819532     0.00000000    -0.80841965    -0.33562774     0.00000000
    0.899000     1.02857238     0.17378597     0.00000000    -0.14588664     0.13091406     0.00000000    -0.88276674    -0.30470003     0.00000000
    0.999000     0.99366795     0.21920247     0.00000000    -0.05079777     0.04689951     0.00000000    -0.94296018    -0.26610198     0.00000000
    1.099000     0.94751492     0.26248576     0.00000000     0.04257831    -0.03939130     0.00000000    -0.99019223    -0.22309446     0.00000000
    1.199000     0.88853102     0.30158800     0.00000000     0.13739875    -0.12377482     0.00000000    -1.02603777    -0.17781317     0.00000000
    1.299000     0.81546517     0.33335237     0.00000000     0.23642251    -0.20183533     0.00000000    -1.05200468    -0.13151705     0.00000000
    1.399000     0.72813682     0.35349222     0.00000000     0.34106131    -0.26862674     0.00000000    -1.06932413    -0.08486549     0.00000000
    1.499000     0.62834893     0.35719989     0.00000000     0.45038806    -0.31905639     0.00000000    -1.07887199    -0.03814350     0.00000000
    1.599000     0.52032760     0.34063924     0.00000000     0.56067586    -0.34921195     0.00000000    -1.08114746     0.00857271     0.00000000
    1.699000     0.40981300     0.30271797     0.00000000     0.66630453    -0.35801029     0.00000000    -1.07627053     0.05529232     0.00000000
    1.799000     0.30193500     0.24571158     0.00000000     0.76188522    -0.34771731     0.00000000    -1.06398222     0.10200572     0.00000000
    1.899000     0.19941038     0.17416879     0.00000000     0.84406323    -0.32274484     0.00000000    -1.04364461     0.14857605     0.00000000
    1.999000     0.10220566     0.09323361     0.00000000     0.91186205    -0.28783653     0.00000000    -1.01424770     0.19460292     0.00000000
    2.099000     0.00829588     0.00765472     0.00000000     0.96596099    -0.24689127     0.00000000    -0.97444587     0.23923654     0.00000000
    2.199000    -0.08532566    -0.07829469     0.00000000     1.00780168    -0.20263600     0.00000000    -0.92267402     0.28093068     0.00000000
    2.299000    -0.18174229    -0.16038941     0.00000000     1.03896685    -0.15677170     0.00000000    -0.85743156     0.31716111     0.00000000
    2.399000    -0.28322554    -0.23398463     0.00000000     1.06085433    -0.11025273     0.00000000    -0.77784479     0.34423736     0.00000000
    2.499000    -0.39023769    -0.29396955     0.00000000     1.07453884    -0.06354426     0.00000000    -0.68452615     0.35751382     0.00000000
    2.599000    -0.50057710    -0.33558072     0.00000000     1.08072613    -0.01681900     0.00000000    -0.58038302     0.35239972     0.00000000
    2.699000    -0.60945844    -0.35601912     0.00000000     1.07974340     0.02989919     0.00000000    -0.47052797     0.32611993     0.00000000
    2.799000    -0.71108779    -0.35576177     0.00000000     1.07153905     0.07662364     0.00000000    -0.36070326     0.27913813     0.00000000
    2.899000    -0.80085684    -0.33826106     0.00000000     1.05568256     0.12330175     0.00000000    -0.25508673     0.21495931     0.00000000
    2.999000    -0.87652853    -0.30827579     0.00000000     1.03136589     0.16969695     0.00000000    -0.15510736     0.13857884     0.00000000
    3.099000    -0.93798801    -0.27025234     0.00000000     0.99741936     0.21523244     0.00000000    -0.05971035     0.05501990     0.00000000
    3.199000    -0.98635359    -0.22756077     0.00000000     0.95237570     0.25877759     0.00000000     0.03368989    -0.03121683     0.00000000
    3.299000    -1.02318515    -0.18243307     0.00000000     0.89464852     0.29837758     0.00000000     0.12823963    -0.11594451     0.00000000
    3.399000    -1.05000691    -0.13619864     0.00000000     0.82292979     0.33098824     0.00000000     0.22677111    -0.19478959     0.00000000
    3.499000    -1.06807984    -0.08956327     0.00000000     0.73689912     0.35241823     0.00000000     0.33086572    -0.26285496     0.00000000
    3.599000    -1.07831425    -0.04283978     0.00000000     0.63813820     0.35786045     0.00000000     0.43985205    -0.31502067     0.00000000
    3.699000    -1.08124493     0.00388140     0.00000000     0.53065570     0.34330736     0.00000000     0.55025623    -0.34718876     0.00000000
    3.799000    -1.07702750     0.05060591     0.00000000     0.42012646     0.30735237     0.00000000     0.65655904    -0.35795828     0.00000000
    3.899000    -1.06543861     0.09733045     0.00000000     0.31183128     0.25197484     0.00000000     0.75325633    -0.34930529     0.00000000
    3.999000    -1.04587555     0.14393569     0.00000000     0.20875301     0.18158072     0.00000000     0.83676255    -0.32551641     0.00000000
    4.099000    -1.01736161     0.19005356     0.00000000     0.11109570     0.10131393     0.00000000     0.90589691    -0.29136749     0.00000000
    4.199000    -0.97857766     0.23488645     0.00000000     0.01697790     0.01597545     0.00000000     0.96122176    -0.25086189     0.00000000
    4.299000    -0.92796737     0.27696497     0.00000000    -0.07655737    -0.07012943     0.00000000     1.00413774    -0.20683554     0.00000000
    4.399000    -0.86400070     0.31386504     0.00000000    -0.17262711    -0.15278988     0.00000000     1.03623181    -0.16107516     0.00000000
